timestamp,elapsed,btc_price,open_price,up_price,down_price,side,price,action,cost,context_4h,context_atr,context_wall,context_news
2026-02-11 10:31:58,118,66710.77,66840.17,0.280,0.710,DOWN,0.710,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:32:04,124,66709.43,66840.17,0.280,0.710,DOWN,0.710,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:32:09,129,66723.58,66840.17,0.290,0.700,DOWN,0.700,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:32:15,135,66730.17,66840.17,0.310,0.680,DOWN,0.680,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:32:20,140,66745.23,66840.17,0.330,0.660,DOWN,0.660,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:32:26,146,66774.78,66840.17,0.370,0.620,DOWN,0.620,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:32:31,151,66770.84,66840.17,0.390,0.600,DOWN,0.600,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:32:37,157,66784.06,66840.17,0.410,0.580,DOWN,0.580,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:32:42,162,66780.32,66840.17,0.380,0.610,DOWN,0.610,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:32:48,168,66776.37,66840.17,0.360,0.630,DOWN,0.630,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:32:53,173,66795.07,66840.17,0.410,0.570,DOWN,0.570,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:32:59,179,66786.40,66840.17,0.410,0.590,DOWN,0.590,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:33:04,184,66784.37,66840.17,0.390,0.600,DOWN,0.600,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:33:10,190,66754.00,66840.17,0.330,0.660,DOWN,0.660,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:33:15,195,66747.94,66840.17,0.310,0.680,DOWN,0.680,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:33:21,201,66753.41,66840.17,0.320,0.670,DOWN,0.670,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:33:26,206,66748.25,66840.17,0.320,0.670,DOWN,0.670,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:33:32,212,66748.24,66840.17,0.320,0.670,DOWN,0.670,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:33:37,217,66760.30,66840.17,0.330,0.660,DOWN,0.660,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:33:43,223,66751.64,66840.17,0.320,0.660,DOWN,0.660,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:33:49,229,66767.90,66840.17,0.360,0.630,DOWN,0.630,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:33:54,234,66767.92,66840.17,0.360,0.630,DOWN,0.630,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:34:00,240,66767.16,66840.17,0.350,0.640,DOWN,0.640,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:34:05,245,66767.16,66840.17,0.340,0.650,DOWN,0.650,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:34:11,251,66767.22,66840.17,0.360,0.630,DOWN,0.630,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:34:16,256,66806.04,66840.17,0.410,0.570,DOWN,0.570,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:34:22,262,66831.75,66840.17,0.490,0.500,DOWN,0.500,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:34:27,267,66832.88,66840.17,0.480,0.510,DOWN,0.510,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:34:33,273,66851.19,66840.17,0.511,0.480,UP,0.511,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:34:38,278,66846.28,66840.17,0.540,0.450,UP,0.540,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:34:44,284,66853.99,66840.17,0.540,0.450,UP,0.540,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:34:49,289,66853.99,66840.17,0.540,0.450,UP,0.540,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:34:55,295,66862.00,66840.17,0.560,0.430,UP,0.560,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:35:00,300,66842.10,66840.17,0.510,0.480,UP,0.510,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:35:06,306,66857.15,66840.17,0.550,0.440,UP,0.550,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:35:11,311,66859.99,66840.17,0.570,0.420,UP,0.570,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:35:17,317,66863.99,66840.17,0.590,0.400,UP,0.590,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:35:22,322,66870.68,66840.17,0.580,0.410,UP,0.580,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:35:28,328,66896.69,66840.17,0.620,0.360,UP,0.620,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:35:33,333,66904.19,66840.17,0.670,0.310,UP,0.670,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:35:39,339,66932.76,66840.17,0.740,0.250,UP,0.740,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:35:45,345,66935.23,66840.17,0.750,0.240,UP,0.750,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:35:50,350,66959.45,66840.17,0.790,0.200,UP,0.790,MONITOR,0.00,DOWN,1.03,1.00,False
2026-02-11 10:35:50,350,66959.45,66840.17,0.790,0.200,UP,0.790,TRADE_UPTREND,5.50,DOWN,1.03,1.77,False
2026-02-11 10:35:56,356,66940.31,66840.17,0.760,0.230,UP,0.760,MONITOR,0.00,DOWN,1.03,1.77,False
2026-02-11 10:36:01,361,66941.50,66840.17,0.760,0.230,UP,0.760,MONITOR,0.00,DOWN,1.03,1.77,False
2026-02-11 10:36:07,367,66941.51,66840.17,0.750,0.240,UP,0.750,MONITOR,0.00,DOWN,1.03,1.77,False
2026-02-11 10:36:12,372,66934.95,66840.17,0.730,0.260,UP,0.730,MONITOR,0.00,DOWN,1.03,1.77,False
2026-02-11 10:36:18,378,66966.16,66840.17,0.780,0.210,UP,0.780,MONITOR,0.00,DOWN,1.03,1.77,False
2026-02-11 10:36:23,383,66945.97,66840.17,0.770,0.210,UP,0.770,MONITOR,0.00,DOWN,1.03,1.77,False
2026-02-11 10:36:29,389,66935.75,66840.17,0.740,0.250,UP,0.740,MONITOR,0.00,DOWN,1.03,1.77,False
2026-02-11 10:36:34,394,66914.69,66840.17,0.700,0.290,UP,0.700,MONITOR,0.00,DOWN,1.03,1.77,False
2026-02-11 10:36:40,400,66903.90,66840.17,0.660,0.310,UP,0.660,MONITOR,0.00,DOWN,1.03,1.77,False
2026-02-11 10:36:45,405,66893.61,66840.17,0.640,0.350,UP,0.640,MONITOR,0.00,DOWN,1.03,1.77,False
2026-02-11 10:36:51,411,66912.18,66840.17,0.680,0.300,UP,0.680,MONITOR,0.00,DOWN,1.03,1.77,False
2026-02-11 10:36:56,416,66889.35,66840.17,0.630,0.350,UP,0.630,MONITOR,0.00,DOWN,1.03,1.77,False
