Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2025-12-01 09:00:00,86869.50000000,86938.01000000,86778.47000000,86874.50000000,55.50631000,1764579779999,4822430.10458810,19141,31.00489000,2693619.19208440,0
2025-12-01 09:03:00,86874.50000000,86923.29000000,86776.99000000,86871.15000000,49.62356000,1764579959999,4310345.91401220,14363,27.02499000,2347194.37775060,0
2025-12-01 09:06:00,86871.16000000,86871.16000000,86771.27000000,86785.87000000,32.41760000,1764580139999,2813845.42371640,11446,14.62134000,1269117.13251490,0
2025-12-01 09:09:00,86785.88000000,86790.60000000,86646.91000000,86663.57000000,82.77645000,1764580319999,7175554.04301380,15286,9.67196000,838616.49445390,0
2025-12-01 09:12:00,86663.58000000,86684.83000000,86600.80000000,86642.43000000,86.05379000,1764580499999,7456079.13550370,10870,13.33017000,1154723.81316460,0
2025-12-01 09:15:00,86642.44000000,86741.17000000,86625.17000000,86687.93000000,24.51505000,1764580679999,2125246.31524090,14853,12.29583000,1065851.22677710,0
2025-12-01 09:18:00,86687.93000000,86730.00000000,86680.03000000,86720.00000000,40.39160000,1764580859999,3502199.91826020,8395,9.48826000,822651.63141360,0
2025-12-01 09:21:00,86720.00000000,86778.22000000,86701.21000000,86764.65000000,25.32053000,1764581039999,2196525.47527840,10398,15.66106000,1358479.39292770,0
2025-12-01 09:24:00,86764.66000000,86764.66000000,86530.76000000,86532.00000000,85.81270000,1764581219999,7430672.55202820,13142,7.48519000,648615.61801580,0
2025-12-01 09:27:00,86532.00000000,86648.25000000,86518.18000000,86606.01000000,63.19323000,1764581399999,5472580.90043340,9939,30.65093000,2654345.94922320,0
2025-12-01 09:30:00,86606.01000000,86649.97000000,86580.67000000,86649.97000000,40.52279000,1764581579999,3509561.73058750,12655,20.25941000,1754493.06340340,0
2025-12-01 09:33:00,86649.96000000,86685.14000000,86613.80000000,86671.06000000,27.46030000,1764581759999,2379681.40510170,7853,16.85548000,1460685.76057670,0
2025-12-01 09:36:00,86671.06000000,86747.38000000,86664.28000000,86664.29000000,34.85779000,1764581939999,3022065.48419820,11402,23.05735000,1998986.63869410,0
