timestamp,elapsed,side,price,action,cost,context_4h,context_atr,context_wall,context_news
10:09:41,581,DOWN,0.760,MONITOR,0.00,DOWN,1.04,1.27,True
10:09:47,587,DOWN,0.860,MONITOR,0.00,DOWN,1.04,1.27,True
10:09:52,592,DOWN,0.860,MONITOR,0.00,DOWN,1.04,1.27,True
10:09:58,598,DOWN,0.860,MONITOR,0.00,DOWN,1.04,1.27,True
10:10:04,604,DOWN,0.830,MONITOR,0.00,DOWN,1.04,1.27,True
10:10:09,609,DOWN,0.820,MONITOR,0.00,DOWN,1.04,1.27,True
10:10:15,615,DOWN,0.800,MONITOR,0.00,DOWN,1.04,1.27,True
10:10:20,620,DOWN,0.840,MONITOR,0.00,DOWN,1.04,1.27,True
10:10:25,625,DOWN,0.870,MONITOR,0.00,DOWN,1.04,1.27,True
10:10:31,631,DOWN,0.900,MONITOR,0.00,DOWN,1.04,1.27,True
10:10:36,636,DOWN,0.910,MONITOR,0.00,DOWN,1.04,1.27,True
10:10:42,642,DOWN,0.930,MONITOR,0.00,DOWN,1.04,1.27,True
10:10:48,648,DOWN,0.930,MONITOR,0.00,DOWN,1.04,1.27,True
10:10:53,653,DOWN,0.940,MONITOR,0.00,DOWN,1.04,1.27,True
10:10:59,659,DOWN,0.910,MONITOR,0.00,DOWN,1.04,1.27,True
10:11:04,664,DOWN,0.910,MONITOR,0.00,DOWN,1.04,1.27,True
10:11:10,670,DOWN,0.820,MONITOR,0.00,DOWN,1.04,1.27,True
10:11:16,676,DOWN,0.610,MONITOR,0.00,DOWN,1.04,1.27,True
10:11:21,681,DOWN,0.780,MONITOR,0.00,DOWN,1.04,1.27,True
10:11:27,687,DOWN,0.760,MONITOR,0.00,DOWN,1.04,1.27,True
10:11:32,692,DOWN,0.720,MONITOR,0.00,DOWN,1.04,1.27,True
10:11:38,698,DOWN,0.610,MONITOR,0.00,DOWN,1.04,1.27,True
10:11:43,703,DOWN,0.590,MONITOR,0.00,DOWN,1.04,1.27,True
10:11:49,709,DOWN,0.610,MONITOR,0.00,DOWN,1.04,1.27,True
10:11:54,714,DOWN,0.640,MONITOR,0.00,DOWN,1.04,1.27,True
10:12:00,720,DOWN,0.690,MONITOR,0.00,DOWN,1.04,1.27,True
10:12:05,725,DOWN,0.700,MONITOR,0.00,DOWN,1.04,1.27,True
10:12:11,731,DOWN,0.680,MONITOR,0.00,DOWN,1.04,1.27,True
10:12:16,736,DOWN,0.800,MONITOR,0.00,DOWN,1.04,1.27,True
10:12:22,742,DOWN,0.830,MONITOR,0.00,DOWN,1.04,1.27,True
10:12:27,747,DOWN,0.820,MONITOR,0.00,DOWN,1.04,1.27,True
10:12:33,753,DOWN,0.860,MONITOR,0.00,DOWN,1.04,1.27,True
10:12:38,758,DOWN,0.870,MONITOR,0.00,DOWN,1.04,1.27,True
10:12:44,764,DOWN,0.880,MONITOR,0.00,DOWN,1.04,1.27,True
10:12:49,769,DOWN,0.930,MONITOR,0.00,DOWN,1.04,1.27,True
10:12:55,775,DOWN,0.930,MONITOR,0.00,DOWN,1.04,1.27,True
10:13:00,780,DOWN,0.870,MONITOR,0.00,DOWN,1.04,1.27,True
10:13:06,786,DOWN,0.890,MONITOR,0.00,DOWN,1.04,1.27,True
